,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
426,thinadhoo,25,MV,1586616168,60,0.53,72.93,84.96,4.21
427,gwanda,0,ZW,1586616168,23,-20.93,29,82.26,7.81
428,saint-louis,35,SN,1586616168,6,16.33,-15,106.93,4.14
429,nizwa,94,OM,1586616168,13,22.93,57.53,90.07,10.63
430,port elizabeth,100,ZA,1586616066,60,-33.92,25.57,68.0,9.17
431,qaqortoq,75,GL,1586616069,34,60.72,-46.03,48.2,3.36
432,hasaki,75,JP,1586615946,66,35.73,140.83,50.0,4.7
433,port hardy,75,CA,1586616126,93,50.7,-127.42,39.2,3.36
435,laurel,1,US,1586616169,43,39.1,-76.85,53.01,10.29
436,nara,100,JP,1586616128,62,34.69,135.8,55.4,10.29
437,rafai,88,CF,1586616169,52,4.95,23.92,84.02,2.35
438,tiarei,20,PF,1586616169,78,-17.53,-149.33,78.8,2.24
439,korla,34,CN,1586616169,18,41.76,86.15,63.23,4.76
440,fort-shevchenko,0,KZ,1586616169,59,44.51,50.26,50.49,8.01
442,mungaoli,11,IN,1586616170,12,24.42,78.1,88.74,3.56
444,muli,4,MV,1586616170,61,2.92,73.57,85.84,2.19
445,nuuk,90,GL,1586616082,69,64.18,-51.72,37.4,3.36
446,baltasi,100,RU,1586616170,84,56.35,50.21,39.18,4.63
447,dickinson,40,US,1586615941,82,29.46,-95.05,75.0,6.93
448,ariquemes,79,BR,1586616170,75,-9.91,-63.04,82.92,1.95
449,beringovskiy,93,RU,1586616170,93,63.05,179.32,6.48,11.45
450,nacimiento,40,CL,1586616170,87,-37.5,-72.67,57.2,13.87
451,kyzyl-mazhalyk,2,RU,1586616170,49,51.13,90.6,39.15,1.61
452,lincoln,20,US,1586615987,57,40.8,-96.67,55.99,4.7
453,saint anthony,75,US,1586615996,56,45.02,-93.22,48.99,2.64
454,kailua,90,US,1586616163,65,21.4,-157.74,77.0,3.36
455,shingu,100,JP,1586615946,49,33.73,135.98,49.96,5.44
456,oga,24,IT,1586616171,28,46.46,10.35,62.6,6.93
457,zhuanghe,42,CN,1586616171,29,39.7,122.99,51.01,1.01
460,meulaboh,61,ID,1586616157,78,4.14,96.13,81.64,2.21
461,esperance,62,AU,1586616130,64,-33.87,121.9,69.8,12.75
462,belogorsk,2,RU,1586616172,68,50.92,128.46,42.87,5.08
463,muleba,0,TZ,1586616172,48,-1.84,31.65,75.85,5.08
464,xiongzhou,100,CN,1586616172,80,25.12,114.3,56.39,4.65
465,forio,0,IT,1586616172,72,40.73,13.86,69.01,9.17
466,ngunguru,1,NZ,1586616172,94,-35.62,174.5,59.0,7.16
467,port victoria,27,KE,1586616172,52,0.09,33.98,77.13,11.43
468,aripuana,38,BR,1586616172,69,-9.17,-60.63,86.34,0.78
469,gelemso,87,ET,1586616172,39,8.82,40.52,70.02,6.49
470,igboho,33,NG,1586616173,20,8.83,3.75,98.06,7.52
472,assiniboia,100,CA,1586616174,74,49.63,-105.98,27.43,13.49
473,gat,40,IL,1586616152,68,31.61,34.76,66.99,11.41
474,constitucion,100,CL,1586616174,70,-35.33,-72.42,60.84,8.59
475,christchurch,90,NZ,1586615992,100,-43.53,172.63,55.99,3.36
476,dingle,3,PH,1586616033,69,11,122.67,79.02,7.43
477,erzurum,40,TR,1586616175,33,40,41.5,46.4,12.75
478,stykkisholmur,72,IS,1586616175,80,65.08,-22.73,37.81,13.67
479,mecca,33,SA,1586616084,20,21.43,39.83,80.17,18.45
480,challans,0,FR,1586616175,34,46.84,-1.87,78.8,3.36
481,yenagoa,90,NG,1586616176,57,4.92,6.26,84.04,10.04
482,panaba,25,MX,1586616176,51,21.28,-88.27,87.28,9.86
483,cagliari,20,IT,1586616176,30,39.24,9.09,71.6,9.17
484,sidney,0,AU,1586616001,41,-33.87,151.21,61.0,14.99
485,tabas,100,IR,1586616176,82,33.6,56.92,60.8,24.16
486,natal,20,BR,1586616176,74,-5.79,-35.21,86.0,6.93
487,beira,75,MZ,1586616177,57,-19.84,34.84,80.6,9.17
488,port-gentil,20,GA,1586616177,83,-0.72,8.78,80.6,4.7
489,nenjiang,32,CN,1586616164,47,49.18,125.22,46.78,5.06
490,cam ranh,20,VN,1586616177,79,11.92,109.16,84.2,1.12
491,tigil,0,RU,1586616177,91,57.8,158.67,9.9,2.82
492,killybegs,26,IE,1586616177,67,54.63,-8.45,62.01,3.36
493,magistralnyy,100,RU,1586616178,81,56.17,107.45,34.83,5.75
495,aykhal,75,RU,1586616178,93,66,111.5,32.0,8.95
496,guaranesia,70,BR,1586616178,59,-21.3,-46.8,74.77,2.55
497,flinders,2,AU,1586616175,44,-34.58,150.86,57.2,16.11
498,loreto,43,MX,1586616107,15,22.27,-101.97,69.53,8.9
499,hualmay,36,PE,1586615942,71,-11.1,-77.61,75.54,7.65
500,olden,100,NO,1586616179,89,61.84,6.81,43.0,5.01
501,dali,8,CN,1586616179,20,25.7,100.18,54.5,2.89
502,visby,100,SE,1586616179,37,57.64,18.3,52.0,13.87
503,ozernovskiy,1,RU,1586616180,92,51.5,156.52,28.72,6.31
504,hervey bay,78,AU,1586616180,94,-25.3,152.85,73.99,5.82
505,yulara,79,AU,1586616133,22,-25.24,130.99,64.4,5.08
506,gaziantep,20,TR,1586616180,25,37.06,37.38,69.8,8.05
507,jalu,95,LY,1586616180,20,29.03,21.55,73.92,9.62
509,elko,1,US,1586616181,64,41,-115.5,45.0,3.36
510,klaksvik,100,FO,1586616139,100,62.23,-6.59,44.6,17.22
511,conneaut,20,US,1586616181,56,41.95,-80.55,45.0,10.29
512,miajadas,100,ES,1586616181,74,39.15,-5.91,64.99,4
514,nemuro,46,JP,1586615911,91,43.32,145.57,30.67,10.25
515,sangar,100,RU,1586615986,98,63.92,127.47,27.34,2.26
516,pimentel,100,PE,1586616182,29,-6.84,-79.93,66.2,10.29
517,barreirinhas,66,BR,1586616182,70,-2.75,-42.83,86.04,7.09
518,kloulklubed,75,PW,1586616182,88,7.04,134.26,78.8,3.36
519,myitkyina,0,MM,1586616182,27,25.38,97.4,77.13,3
520,manzil salim,40,TN,1586616182,48,35.86,8.48,64.4,10.29
521,werda,20,BW,1586616182,24,-25.27,23.28,82.63,6.82
522,saumur,0,FR,1586616183,35,47.33,-0.25,73.4,3.36
523,lahstedt,87,DE,1586616183,23,52.25,10.23,64.99,6.93
524,bardiyah,0,LY,1586616183,58,31.76,25.09,63.82,14.23
525,tanah merah,20,MY,1586616183,83,5.8,102.15,84.2,5.82
526,byron bay,6,AU,1586616183,46,-28.65,153.62,73.99,12.75
527,gunjur,0,GM,1586616183,47,13.2,-16.73,82.22,13.11
528,nanakuli,90,US,1586616184,94,21.39,-158.15,77.0,6.89
530,darhan,0,MN,1586616164,29,49.49,105.92,51.91,7.67
531,lavrentiya,99,RU,1586616184,98,65.58,-171,27.61,8.28
532,manbij,20,SY,1586616184,25,36.53,37.95,66.2,8.05
533,adrar,0,MR,1586616184,9,20.5,-10.07,98.65,10.16
534,okhotsk,98,RU,1586616185,97,59.38,143.3,26.82,1.95
535,rancho palos verdes,40,US,1586616039,100,33.74,-118.39,55.4,3.13
536,las vegas,1,US,1586615919,54,36.17,-115.14,54.0,8.05
537,cabrero,40,CL,1586616185,87,-37.03,-72.4,62.6,13.87
538,akyab,45,MM,1586616185,84,20.15,92.9,79.38,5.21
539,lixourion,20,GR,1586616185,77,38.2,20.43,64.4,9.17
540,shaoguan,76,CN,1586616185,78,24.8,113.58,54.9,4.94
541,jabinyanah,25,TN,1586616186,60,35.03,10.91,69.8,11.41
542,itum-kale,99,RU,1586616186,43,42.74,45.58,48.63,1.5
543,hami,100,CN,1586616147,16,42.8,93.45,63.81,7.09
544,nezhinka,75,RU,1586616186,65,51.77,55.37,53.6,11.18
545,naroda,4,IN,1586616186,20,23.08,72.67,96.8,12.82
546,san policarpo,13,PH,1586616186,73,12.18,125.51,79.93,2.19
547,reconquista,0,AR,1586616187,38,-29.15,-59.65,73.62,8.81
548,leh,35,IN,1586616187,16,34.17,77.58,37.22,1.39
549,shenjiamen,100,CN,1586616187,83,29.96,122.3,52.14,26.11
550,bure,90,ET,1586616187,32,10.7,37.07,71.58,5.44
551,wairoa,4,NZ,1586616187,91,-39.03,177.37,51.01,3
552,preobrazheniye,12,RU,1586616117,94,42.9,133.91,29.53,5.88
554,kamenka,100,RU,1586615944,89,51.32,42.77,37.99,11.72
556,cuenca,90,EC,1586616188,100,-2.88,-78.98,57.2,3.36
557,alyangula,75,AU,1586616188,94,-13.85,136.42,77.0,7.83
558,uong bi,79,VN,1586616189,94,21.03,106.78,75.2,4.7
559,sheopur,0,IN,1586616190,13,25.67,76.7,91.09,6.04
560,madimba,95,TZ,1586616190,82,-10.4,40.33,80.78,14.32
561,baijiantan,82,CN,1586616191,34,45.63,85.18,56.77,1.97
562,jishou,72,CN,1586616191,79,28.32,109.72,48.79,0.85
563,port augusta,90,AU,1586616127,63,-32.5,137.77,60.8,10.29
564,contamana,96,PE,1586616191,71,-7.33,-75.02,83.73,1.7
565,snasa,100,NO,1586616192,79,64.25,12.38,36.25,4.94
566,yurimaguas,90,PE,1586616192,100,-5.9,-76.08,75.2,1.54
567,deputatskiy,96,RU,1586616061,92,69.3,139.9,22.96,13.11
568,nueva concepcion,20,GT,1586616192,74,14.2,-91.3,82.4,2.89
569,galdar,20,ES,1586616192,56,28.15,-15.65,75.0,27.51
570,buluang,2,PH,1586616193,85,13.31,123.34,77.36,4.38
571,markova,56,UA,1586616193,23,48.68,24.41,60.8,6.71
572,metro,10,ID,1586615969,83,-5.11,105.31,78.17,1.45
573,port moresby,40,PG,1586616193,94,-9.44,147.18,78.8,5.82
574,zhigansk,100,RU,1586616190,95,66.77,123.37,32.0,12.93
575,yerofey pavlovich,0,RU,1586616194,70,53.97,121.97,34.95,2.66
576,matara,0,LK,1586616194,85,5.95,80.54,79.23,5.61
577,kontagora,93,NG,1586616194,12,10.4,5.47,97.63,9.82
578,perelyub,97,RU,1586616194,49,51.87,50.37,49.41,8.39
579,sisimiut,100,GL,1586616195,84,66.94,-53.67,34.45,2.15
580,bose,0,IT,1586616195,17,45.46,8.01,80.01,4.7
581,inirida,99,CO,1586616195,63,3.87,-67.92,85.69,3.11
582,basco,79,PH,1586616196,73,20.45,121.97,76.73,5.3
583,ballitoville,10,ZA,1586616196,69,-29.54,31.21,78.8,10.29
584,umm lajj,0,SA,1586616196,51,25.02,37.27,72.03,15.79
585,poltavka,25,RU,1586616196,47,54.37,71.76,49.42,2.21
586,besikduzu,6,TR,1586616196,51,41.05,39.23,55.4,3.38
587,mattru,96,SL,1586616197,55,7.62,-11.83,90.36,6.13
588,port-cartier,75,CA,1586616197,51,50.03,-66.87,35.6,17.22
589,mandera,74,KE,1586616197,6,3.94,41.87,96.01,1.99
590,wuwei,37,CN,1586616161,14,37.93,102.64,50.0,1.01
591,chapais,90,CA,1586616197,73,49.78,-74.85,26.6,11.41
592,kendari,100,ID,1586616197,95,-3.94,122.5,75.04,1.97
593,kalaleh,90,IR,1586616198,82,37.38,55.49,55.4,1.01
594,peleduy,100,RU,1586616198,86,59.63,112.74,34.34,5.26
595,husum,90,DE,1586616198,55,54.49,9.05,61.0,5.82
596,paita,96,PE,1586616154,100,-5.09,-81.11,62.6,9.17
597,bubaque,0,GW,1586616198,75,11.28,-15.83,79.05,10.87
599,olga,42,RU,1586616199,92,43.74,135.29,29.17,5.84
600,severo-yeniseyskiy,1,RU,1586616199,94,60.37,93.04,24.24,4.09
601,sidi ali,88,DZ,1586616199,55,36.1,0.42,65.98,12.53
602,srednekolymsk,1,RU,1586616199,95,67.45,153.68,16.5,7.23
603,tahta,0,EG,1586616200,18,26.77,31.5,76.75,14.88
604,carmen,20,MX,1586616113,74,18.63,-91.83,82.4,11.41
605,caluquembe,36,AO,1586616200,51,-13.78,14.68,71.1,1.92
607,wau,100,SS,1586616200,42,7.7,28,88.48,2.46
608,vincennes,41,FR,1586616201,25,48.85,2.43,79.0,5.82
